PALABRA,FONEMA,TRADUCCIÓN
politician,pɒlɪˈtɪʃən,político
politics,pɒlɪtɪks,político
poll,pəʊl,votación
pollution,pəˈluːʃən,Polución
pond,pɒnd,Estanque (pequeño lago)
pool,puːl,"Piscina, billar americano"
poor,pooor,Pobre
pop,pɒp,"Explotar, pop"
popular,pɒpjʊləʳ,popular
popularity,pɒpjʊˈlærɪtɪ,popularidad
population,pɒpjʊˈleɪʃən,población
porch,pɔːtʃ,porche
pork,pɔːk,"Chancho, cerdo"
port,pɔːt,puerto
portfolio,pɔːtˈfəʊlɪəʊ,"Portafolio, carpeta"
portrait,pɔːr-trət,retrato
portray,pɔːˈtreɪ,retratar
position,pəˈzɪʃən,posición
positive,pɒzɪtɪv,positivo
possess,pəˈzes,poseer
possession,pəˈzeʃən,posesión
possibility,pɒsəˈbɪlɪtɪ,posibilidad
possible,pɒsəbl,Posible
possibly,ˈpɒsəblɪ,posiblemente
poster,ˈpəʊstəʳ,"Póster, cartel"
pot,pɒt,"Maceta, olla"
potato,pəˈteɪtəʊ,papa
potential,pəˈtenʃəl,potencial
potentially,pəˈtenʃəlɪ,potencialmente
pregnancy,ˈpregnənsɪ,embarazo
pregnant,ˈpregnənt,embarazada
preliminary,preˈlɪmɪnərɪ,preliminar
premise,premes,"Premisa, suposición"
premium,ˈpriːmɪum,"Premio, premio"
preparation,prepəˈreɪʃən,preparación
prepare,prepɛəʳ,preparar
prescription,preˈskrɪpʃən,"Prescripción, receta"
presence,ˈprezns,presencia
present,ˈpreznt,"Regalo, presente"
presentation,prezənˈteɪʃən,presentación
presidency,ˈprezɪdənsɪ,presidencia
president,prezɪdənt,Presidente
presidential,prezɪˈdenʃəl,presidencial
press,pres,"Empujar, apretar, prensa"
pressure,preʃəʳ,presión
presumably,preˈzjuːməblɪ,"Presumiblemente, presuntamente"
pretend,priˈtend,"Pretender, fingir"
pretty,ˈprɪti,lindo
prevail,prɪˈveɪl,prevalecer
prevent,prɪˈvent,"Prevenir, evitar"
prevention,prɪˈvenʃən,prevención
previous,ˈpriːvɪəs(privies),anterior
previously,ˈpriːvɪəslɪ,previamente
price,praɪs,precio
pride,praɪd,orgullo
priest,priːst,sacerdote
primarily,ˈpraɪmərelɪ,"Principalmente,"
pound,paʊnd,libra
pour,pɔːʳ,servir
poverty,ˈpɒvətɪ,Pobreza
powder,ˈpaʊdəʳ,polvo
power,paʊəʳ,Poder
powerful,ˈpaʊərfʊl,"Potente, poderoso"
practical,ˈpræktɪkəl,práctico
practically,ˈpræktɪkəli,prácticamente
practice,ˈpræktes,Práctica
practitioner,prækˈtɪʃənəʳ,"Profesional, practicante, que ejerce una profesión"
praise,preɪz,elogiar
pray,Prei,Rezar; rogar
prayer,pre(ə)r,Plegaria u oración
preach,priːtʃ,"Predicar, sermonear"
precious,ˈpreʃəs,"Precioso, valioso"
precise,preˈsaɪs,Preciso
precisely,preˈsaɪslɪ,precisamente
predator,"ˈpredətəʳ
(predeter)",depredador
predict,priˈdekt,predecir
prediction,priˈdekʃən,predicción
prefer,priˈf3ːʳ,preferir
preference,preˈf3ːʳrens,preferencia
,,fundamentalmente
primary,ˈpraɪmərɪ,"Primario, escuela primaria"
prime,Praim,"Excelente, primordial"
principal,ˈprɪnsepol,principal
principle,ˈprɪnsəpl,principio
print,Print,imprimir
prior,ˈpraɪəʳ,"Anterior, previo"
priority,praɪˈɒrɪtɪ,prioridad
prison,ˈprɪzn,"Prisión, cárcel"
prisoner,ˈprɪznəʳ,prisionero
privacy,ˈprɪvəsɪ-praivesi,Privacidad; aislamiento
private,praɪvet,privado
privately,ˈpraɪvetlɪ,En privado
privilege,ˈprevɪlɪdʒ,privilegio
prize,praiz,premio
pro,prou,Profesional (abreviación)
probably,prɒbəblɪ,probablemente
problem,prɒbləm,Problema
procedure,prəˈsiːdʒəʳ,procedimiento
proceed,prəˈsiːd,"Proceder, continuar"
process,ˈprəʊses,proceso
processing,prəʊsesɪŋ,procesamiento
processor,ˈprəʊsesəʳ,procesador
proclaim,prokleɪm,"Proclamar, anunciar"
produce,prɒdjuːs,producir
producer,prəˈduːsəʳ,"Productor, fabricante"
product,prɒdʌkt,producto
production,prəˈdʌkʃən,producción
productive,prəˈdʌktɪv,productivo
productivity,prodʌkˈtɪvɪtɪ,productividad
profession,prəˈfeʃən,profesión
professional,prəˈfeʃənl,profesional
professor,prəˈfesəʳ,profesor
profile,ˈprəʊfaɪl,perfil
profit,ˈprɒfɪt,beneficio
profound,prəˈfaʊnd,"Profundo, hondo"
program,ˈprəʊgræm,programa
programmin g,ˈprəʊgræming,"Programación, programador"
progress,ˈprəgres,"Progreso, avanzar"
progressive,prəˈgresiv,progresivo
prohibit,(projébet),prohibir
project,ˈprɒdʒekt,proyecto
projection,prəˈdʒekʃən,proyección
prominent,ˈprɒmɪnənt,"Prominente, importante"
promise,ˈprɒmes,promesa
promising,ˈprɒmɪsɪŋ,prometedor
promote,prəˈməʊt,"Promocionar, promover"
promotion,prəˈməʊʃən,promoción
prompt,prɒmpt,"Pronto, rápido, raudo"
proof,pruːf,prueba
proper,ˈprɒpəʳ (con A),"Apropiado, correcto"
properly,ˈprɒpəlɪ,"Correctamente, adecuadamente"
psychological,saɪkəˈlɒdʒɪkəl,psicológico
psychologist,saɪˈkɒlədʒɪst,sicólogo
psychology,saɪˈkɒlədʒɪ,psicología
public,ˈpʌblɪk,público
publication,pʌblɪˈkeɪʃən,Publicación
publicity,pʌbˈlɪsɪtɪ,publicidad
publicly,ˈpʌblɪklɪ,públicamente
publish,ˈpʌblɪʃ,publicar
publisher,ˈpʌblɪʃəʳ,"Editor, editorial"
pull,pʊl,tirar
pulse,pauls,pulso
pump,ˈpʌmp,bomba
punch,pʌntʃ,puñetazo
punish,ˈpʌnɪʃ,castigar
punishment,ˈpʌnɪʃmənt,castigo
purchase,ˈp3ːrtʃes,"Comprar, compra"
pure,pjʊəʳ,puro
purple,ˈp3ːrpl,púrpura
purpose,p3ːpəs,propósito
purse,p3ːrs,cartera
pursue,pəˈsuː,perseguir
pursuit,pəˈsuːt,persecución
push,pʊʃ,"Oprimir, empujar"
put,pʊt,"Poner, colocar"
puzzle,ˈpʌzl,"Puzle, rompecabezas"
qualify,ˈkwɒlɪfaɪ,"Calificar, cumplir requisitos"
quality,kwɒlɪtɪ,"Calidad, atributo"
quantity,ˈkwɒntɪtɪ,cantidad
quarter,ˈkwɔːtəʳ,Cuarto (1/4)
property,prɒpətɪ,"Propiedad, pertenecía"
proportion,prəˈpɔːʃən,proporción
proposal,prəˈpəʊzl,propuesta
propose,prəˈpəʊz,proponer
proposed,prəˈpəʊzd,"Propuesto, sugerido"
prosecution,prɒsɪˈkjuːʃən,"Acusación; prosecución,
seguimiento"
prosecutor,ˈprɒsɪkjuːtəʳ,fiscal
prospect,prəsˈpekt,Perspectiva (prospectar)
protect,prəˈtekt,proteger
protection,prəˈtekʃən,protección
protein,ˈprəʊtiːn,proteína
protest,ˈprəʊtest,"Protestar, protesta"
protocol,ˈprəʊtəkɒl,protocolo
proud,praʊd,orgulloso
prove,pruːv,probar
provide,prəˈvaɪd,"Proporcionar, proveer"
provided,prəˈvaɪdɪd,provisto
provider,prəˈvaɪdəʳ,"Proveedor, sostén"
province,ˈprɒvɪns,provincia
provision,prəˈviʒən,"Provisión, provisiones"
provoke,prəˈvəʊk,provocar
quarterback,ˈkwɔːtəbæk,Mariscal de campo
quest,Kwest,"Misión, búsqueda"
question,ˈkwestʃən,pregunta
questionnaire,ˈkwestʃəner,cuestionario
quick,kwɪk,rápido
quickly,kwɪ-klɪ,rápidamente
quiet,ˈkwaɪət(kwait),"Silencioso, tranquilo"
quietly,ˈkwaɪətlɪ,"Silenciosamente, tranquilamente"
quit,kwet,Dejar de
quite,kwaɪt,bastante
quote,kwəʊt,"Citar (apuntar), cotización"
rabbit,ˈræbet,conejo
race,reis,"Correr, carrera"
racial,ˈreiʃəl,racial
racism,ˈreɪsizm,racismo
rack,ræk,Estante
radar,ˈreɪdɑːʳ,radar
radiation,reɪdɪˈeɪʃən,"Radiación, radiactividad"
radical,ˈrædɪkəl,radical
radio,ˈreɪdɪəʊ,radio
rage,reɪdʒ,"Rabia, ira, furia"
rail,Reil,Vía tren; raíl
railroad,ˈreɪlrəʊd,Vía férrea
rain,rein,lluvia
raise,reɪz,"Subir, levantar"
rally,ˈrali,rally
ranch,rɑːntʃ,rancho
random,ˈrændəm,aleatorio
range,reɪndʒ,alcance
rank,ræŋk,"Rango, categoría"
rape,reɪp,violación
rapid,Ræped,rápido
rapidly,ˈræpedlɪ,rápidamente
rare,rɛəʳ,raro
rarely,ˈrɛəlɪ,Rara vez
rat,ræt,rata
rate,Reit,"Tasa, índice"
rather,ˈrɑːðəʳ,Bastante; preferir; más bien
rating,ˈreɪtɪŋ,"Clasificación, índice de audiencia"
ratio,ˈreɪʃɪəʊ,proporción
rational,ˈræʃənl,racional
raw,rɔː,"Crudo, bruto"
re,Ri:,Abrev. De: con respect a(with reference to)
reach,riːtʃ,"Llegar, alcanzar"
react,riːˈækt,reaccionar
reaction,riːˈækʃən,reación
read,rid,Leer
reader,ˈriːdəʳ,lector
readily,ˈredɪlɪ,inmediatamente
recognition,rekəgˈnɪʃən,reconocimiento
recognize,rekə(e)gnaɪz,"Reconocer, identificar"
recommend,rekəˈmend,"Recomendar, aconsejar"
recommendation,"rekəmen
ˈdeɪʃən",recomendación
record,ˈrekɔːd,"Registro, grabar"
recording,reˈkɔːdɪŋ,grabación
recover,riˈkovəʳ,recuperar
recovery,rɪˈkovərɪ,recuperación
recruit,riˈkruːt,"Reclutar, recluta, contratar"
red,red,rojo
reduce,rɪˈdjuːs,reducir
reduction,rɪˈdʌkʃən,reducción
refer,rɪˈf3ːʳ(rifér),Referirse a
reference,ˈre-frəns,fuente
reflect,rɪflékt,"Reflejar, reflexionar"
reflection,reˈflekʃən,"Reflexión, reflejo"
reform,riform,reformar
refuge,ˈrefjuːdʒ,refugio
refugee,refjʊˈdʒiː,refugiado
refuse,rɪˈfjuːz,rechazar
regain,rɪˈgeɪn,"Recuperar, recobrar"
regard,reˈgɑːd,"Considerar, respetar"
regardless,reˈgɑːdles,"Sin tener en cuenta, independiente, a pesar de todo"
regime,reɪˈʒiːm,regimen
region,ˈriːdʒən,región
regional,ˈriːdʒənl,regional
register,ˈredʒɪstəʳ,"Apuntarse, inscribirse; caja
registradora"
regret,rɪˈgret,"Arrepentirse, arrepentimiento"
reading,ˈriːdɪŋ,"Leer, lectura"
ready,redɪ,listo
real,rɪəl,"Real, autentico"
realistic,rɪəˈlɪstɪk,"Realista, razonable (realista)"
reality,riːˈælɪtɪ,realidad
realize,rɪəlaɪz(rielaiz),"Darse cuenta, llevar a cabo"
really,rɪəlɪ,"Realmente, de verdad, en serio"
realm,relm,reino
rear,rɪər,"Trasero, atras"
reason,riːzn,Razón
reasonable,ˈriːz-nə-bl,razonable
rebel,reˈbel,rebelde
rebuild,ˈriːˈbɪld,reconstruir
recall,rɪˈkɔːl,memoria
receive,riˈsiːv,recibir
receiver,rɪˈsiːvəʳ,receptor
recent,riːsnt,reciente
recently,riːsntl-ɪ,"Recientemente, recién"
reception,rɪˈsepʃən,recepción
recession,rɪˈseʃən,recesión
recipe,ˈresepɪ,receta
recipient,rɪˈsɪpɪənt,"Receptor, destinatario; recipiente"
regular,ˈregjʊləʳ,"Normal, regular"
regularly,ˈregjʊləlɪ,"Con frecuencia, a menudo"
regulate,ˈregjʊleɪt,"Regular, controlar"
regulation,regjʊˈleɪʃən,regulación
regulator,ˈregjʊleɪtəʳ,regulador
regulatory,ˈregjʊˌleɪtərɪ,"Regulador, legislativo"
rehabilitation,ˈriːəˌbɪlɪˈteɪʃən,rehabilitación
reinforce,riːenˈfɔːs,reforzar
reject,ˈriːdʒekt,rechazar
relate,rɪleɪ´t,"Relacionarse; relatar, narrar"
related,releited,relacionado
relation,rɪˈleɪʃən,"Relación, pariente"
relationship,rɪˈleɪʃənʃɪp,"Relación, parentesco (familiar)"
relative,ˈrelətiv,"Relativo, pariente"
relatively,ˈrelətɪvlɪ,relativamente
relax,Rélaks,"Relajar, relajarse"
release,rɪˈliːs(rilís),Liberar
relevant,ˈreləvənt,relevante
reliability,reˌlaɪəˈbɪlɪtɪ,"Fiabilidad, confiabilidad"
reliable,reˈlaɪəbl,fiable
relief,reˈliːf,"Asistencia, socorro; traer alivio"
relieve,reˈliːv,Aliviar
religion,rɪˈlɪdʒən,religión
religious,rɪˈlɪdʒəs,religioso
reluctant,reˈlʌktənt,"Reluctante, reacio"
rely,riˈlaɪ,"Depende de, confiar de, relé"
remain,rɪˈmeɪn,"Permanecer, restos"
remark,riˈmɑːk,"Comentario, observación"
remarkable,riˈmɑːkəbl,"Notable, extraordinario"
remember,rɪˈmembəʳ,"Recordar, acordarse"
remind,riˈmaɪnd,recordar
reminder,rɪˈmaɪndəʳ,"Recordatorio, recuerdo"
remote,rɪˈməʊt,remoto
removal,riˈmuːvəl,"Mudanza, eliminación"
remove,rɪˈmuːv,Quitar remover
render,ˈrendəʳ,"Dejar, prestar"
rent,Rent,"Alquilar, renta"
rental,ˈrentl,alquiler
repair,rɪˈpɛəʳ,reparar
repeat,rɪˈpiːt,repetir
repeatedly,rɪˈpiːtedlɪ,repetidamente
replace,rɪˈpleɪs,"Reemplazar, reponer, sustituir"
replacement,rɪˈpleɪsmənt,repuesto
report,rɪˈpɔːt,"Reportaje, declaración, reportar, informe"
reportedly,rɪˈpɔːtedlɪ,"Según se informa, supuestamente"
reporter,rɪˈpɔːtəʳ,reportero
reporting,rɪˈpɔːtɪŋ,reportajes
represent,reprɪ(e)ˈzent,representar
representation,reprɪzenˈteɪʃnn,representación
representative,reprɪˈzentətɪv,"Representante, representativo"
respect,rɪsˈpekt,respeto
respectively,rɪsˈpektɪvlɪ,respectivamente
respond,Rispand,contestar
respondent,rɪsˈpɒndənt,"Que responde, encuestado"
response,rɪsˈpɒns,"Respuesta, reacción"
responsibilit y,rɪsˌpɒnsəˈbɪlɪtɪ,responsabilidad
responsible,rɪsˈpɒnsəbl,responsable
rest,Rest,"Resto, descanso,
descansar(dormir)"
restaurant,ˈrestərɒŋ,restaurant
restore,rɪsˈtɔːʳ,"Restaurar, recobrar"
restrict,risˈtrekt,"Restringir, limitar"
restriction,risˈtrekʃən,restricción
result,rɪˈzʌlt,"Resultado, resultar"
resume,riˈzjuːm,"Reanudar; curriculum, resumen"
retail,ˈriːteɪl,Venta al por menor
retailer,ˈriːteɪləʳ,"Minorista, tienda al por menor"
retain,riˈteɪn,"Retener, quedarse (con algo)"
retire,rɪˈtaɪəʳ,retirarse
retired,rɪˈtaɪəd,jubilado
retirement,rɪˈtaɪəment,"Retiro, jubilación"
retreat,rɪˈtriːt,"Retiro, retirada"
return,riˈtərn,"Regresar, retorno"
reveal,rɪˈviːl,revelar
revelation,revəˈleɪʃən,revelación
revenue,ˈrevənjuː,Ingresos públicos; renta
reverse,rɪˈv3ːs,"Opuesto, reves"
review,rɪˈvju,"Revisar, analizar"
revolution,revəˈluːʃən,revolución
republic,rɪˈpʌblɪk,república
republican,rɪˈpʌblɪkən,republicano
reputation,repjʊˈteɪʃən,reputación
request,rɪˈkwest,"Solicitar, solicitud"
require,rɪˈkwaɪəʳ,"Requerir, necesitar"
required,rɪˈkwaɪəʳ,"Requerir, necesitar (ordenar o necesitar)"
requirement,rɪˈkwaɪəmənt,requisito
rescue,ˈreskjuː,"Rescatar, rescate"
research,rɪˈs3ːtʃ,"Investigación, investigar"
researcher,rɪˈs3ːtʃəʳ,investigador
resemble,rɪˈzembl,parecerse
reservation,rezəˈveɪʃən,"Reserva, reservación (hotel);
reserva (duda)"
reserve,rɪˈz3ːv,"Reserva, reservar"
residence,ˈrezɪdəns,residencia
resident,ˈrezɪdənt,"Residente, habitante"
residential,rezɪˈdenʃəl,residencial
resign,rɪˈzaɪn,renunciar
resist,rɪˈzɪst,resistir
resolution,ˌrezəˈluːʃən,resolución
resolve,rɪˈzɒlv,resolver
resort,rɪˈzɔːt,Centro turistico
resource,rɪsɔːs,"Recurso, medio"
revolutionar y,revəˈluːʃənərɪ,revolucionario
reward,rɪˈwɔːd,Recompensa
rhetoric,ˈretərɪk,retórica
rhythm,ˈrɪðəm,ritmo
rib,Ríb,costilla
ribbon,ˈrɪbən,cinta
rice,Rais,arroz
rich,rɪtʃ,rico
rid,rɪd,Deshacerse de
ride,Raid,"Manejar, montar; cabalgar"
rider,ˈraɪdəʳ,jinete
ridge,rɪdʒ,cresta
ridiculous,rɪˈdɪkjʊləs,ridículo
rifle,ˈraɪfəl,rifle
right,raɪt,Correcto; derecho
rim,rɪm,"Borde, llanta"
ring,Ring,anillo
riot,ˈraɪət,"Disturbio, amotinarse, revuelta"
rip,rɪp,"Rasgar, romper"
rise,raɪz,"Subir, crrecer"
risk,rɪsk,riesgo
risky,ˈrɪskɪ,Arriesgado
ritual,ˈrɪtjʊəl,ritual
rival,ˈraɪvəl,rival
river,ˈrɪvəʳ,río
road,rəʊd,"Calle, carretera"
robot,ˈrəʊbɒt,robot
rock,rɒk,Roca; sacudir
rod,rɒd,"Barra, varilla"
role,rəʊl,"Labor, papel"
roll,rəʊl,"Rodar, rollo"
rolling,ˈrəʊlɪŋ,"Rodante, ondulado"
Roman,rəʊmən,romano
romance,rəʊˈmæns,romance
romantic,rəʊˈmæntɪk,romántico
roof,ruːf,"Tejado, techo"
room,rʊm,"Habitación, cuarto"
root,Ru:t,raíz
rope,rəʊp,cuerda
rose,rəʊz,rosa
rough,raf,"Áspero, rugoso"
roughly,ˈrʌflɪ,"Aproximadamente, Rudamente"
round,raʊnd,"Redondo, circular; alrededor"
route,Ru:t,"Ruta, camino"
routine,ruːˈtiːn,Rutina
routinely,ruːˈtiːnlɪ,rutinariamente
row,raʊ,fila
royal,ˈrɔɪəl,real
rub,rʌb,frotar
rubber,ˈrʌbəʳ,Goma; borrador (UK)
ruin,ˈruːɪn (rúin),"Ruina, arruinar"
rule,ruːl,"Regla, norma"
salt,sɔːlt,sal
same,seɪm,"Mismo, igual"
sample,sɑːmpl,muestra
sanction,ˈsæŋkʃən,sanción
sandwich,ˈsænwɪdʒ,sándwich
satellite,ˈsætəlaɪt,satélite
satisfaction,sætɪsˈfækʃən,satisfacción
satisfy,ˈsætɪsfaɪ,satisfacer
sauce,sɔːs,salsa
save,seɪv,"Ahorrar, rescatar, salvar"
say,seɪ,decir
scale,skeɪl,"Balanza, báscula"
scan,skæn,escáner
scandal,ˈskændl,escándalo
scare,ˈskɛəʳ,"Asustar, susto"
scared,ˈskɛərd,"Aterrorizado, asustado"
scary,ˈskɛərɪ,"Escalofriante, de miedo"
scatter,ˈskætəʳ,"Dispersarse, esparcir, dispersión"
scenario,seˈnɑːrɪoʊ,Escenario; situación hipotética
scene,siːn,escena
scent,sent,"Rastro, olor, aroma"
schedule,ˈskedjuːl,"Horario, programa, programar"
scheme,skiːm,"Conspirar, maquinar"
scholar,ˈskɒləʳ,"Erudito, sabio"
scholarship,ˈskɒləʃɪp,"Beca, escolaridad"
school,skuːl,Escuela
science,saɪəns,ciencia
scientific,saɪənˈtɪfɪk,científico
scientist,saɪəntɪst,científico
scope,skəʊp,"Alcance, mira"
ruling,ˈruːlɪŋ,dominante
rumor,ruˈməɾ (rúmer),rumor
run,rʌn,correr
runner,ˈrʌnəʳ,corredor
running,ˈrʌnɪŋ,correr
rural,ˈrʊərəl(rúerol),rural
rush,rʌʃ,"ímpetu, prisa"
Russian,rʌʃən,ruso
sack,Sæk,saco
sacred,ˈseɪkrɪd,sagrado
sacrifice,ˈsækrɪfaɪs,sacrificio
safe,seif,"Seguro, cauteloso"
safely,ˈseɪflɪ,Sin peligro
safety,seɪfti,seguridad
sake,seɪk,En nombre de
salad,ˈsæləd,ensalada
salary,ˈsælərɪ,salario
sale,seɪl,venta
sales,seils,venta
salmon,ˈsæmən,salmón
score,skɔːʳ,"Marcador, marcar (puntos)"
scramble,ˈskræmbl,revolver
scratch,ˈskrætʃ,"Rascar, rasguño"
scream,skriːm,"Grito, gritar"
screen,skriːn,"Pantalla, monitor"
screening,ˈskriːnɪŋ,"Proyección; gritería; investigación de
antecedentes de candidatos"
screw,skruː,"Tornillo, atornillar"
script,skrɪpt,"Guion (teatro), texto"
sculpture,ˈskʌlptʃəʳ,"Esculpir, escultural, escultura"
sea,Si:,mar
seal,siːl,Foca; sellar (fuga)
search,s3ːtʃ,buscar
season,siːzn,temporada
seat,siːt,asiento
second,sekənd,"Segundo, instante"
secondary,ˈsekənd(ə)ri,Secundario (segundo o escuela)
secret,ˈsiːkret,secreto
secretary,ˈsekrətrɪ,secretaria
section,sekʃən,sección
sector,ˈsektəʳ,sector
secular,ˈsekjʊləʳ,Secular (no religioso)
secure,seˈkjʊəʳ,seguro
security,sɪˈkjʊərɪtɪ,seguridad
see,siː,ver
seed,siːd,semilla
seek,siːk,buscar
seem,siːm,Parecer
seemingly,siːmɪŋlɪ,aparentemente
segment,segment,segmento
seize,siːz,"Agarrar, sujetar"
seldom,ˈseldəm,raramente
select,seˈlekt,"Seleccionar, selecto (exclusivo)"
selected,sɪˈlektid,seleccionado
selection,sɪˈlekʃən,selección
self-esteem,selfɪsˈtiːm,autoestima
sell,sel,vender
seller,ˈseləʳ,vendedor
seminar,ˈsemɪnɑːʳ,seminario
Senate,ˈsenɪt,senado
senator,ˈsenatəʳ,senador
send,send,enviar
senior,ˈsiːnɪəʳ,"Superior, senior, mayor"
sensation,senˈseɪʃən,sensación
sense,Sens,"Sentido, sensación; juicio (pensamiento racional)"
sensitive,ˈsensɪtɪv,sensible
sensitivity,sensɪˈtɪvɪtɪ,sensibilidad
sentence,ˈsentəns,"Oración (gramatical), sentenciar"
sentiment,ˈsentɪmənt,sentimiento
separate,ˈsepəreɪt,separar
separation,sepəˈreɪʃən,separación
sequence,ˈsiːkwəns,secuencia
sexy,ˈseksɪ/,sexy
shade,ʃeɪd,"Sombra, matiz"
shadow,ˈʃædəʊ,sombra
shake,ʃeɪk,agitar
shame,ʃeɪm,remordimiento
shape,ʃeɪp,forma
share,ʃɛəʳ,compartir
shared,ʃɛəd,compartido
shareholder,ˈʃɛəˌhəʊldəʳ,accionista
shark,ʃɑːk,tiburón
sharp,ʃɑːp,afilado
sharply,ˈʃɑːplɪ,rápidamente
she,ʃiː,Ella; hembra
shed,ʃed,"Cobertizo, caseta; mudarse"
sheep,ʃiːp,oveja
sheer,ʃɪəʳ,"Puro, auténtico"
sheet,ʃiːt,sábana
shelf,ʃelf,estante
shell,ʃel,"Concha, cáscara"
shelter,ˈʃeltəʳ,"Refugio, albergue"
shift,ʃɪft,"Mover, cambiar (cambio mec)"
shine,ʃain,brillar
ship,ʃɪp,barco
shirt,ʃ3ːt,camisa
shit,ʃet,mierda
shock,ʃɒk,conmoción
shoe,ʃuː,zapato
shoot,ʃuːt,disparar
shooting,ˈʃuːtɪŋ,"Tiro (actividad), tiroteo"
shop,ʃɒp,tienda
shopping,ˈʃɒpɪŋ,Ir de compras
series,sɪərɪ´z,serie
serious,sɪərɪəs,"Serio, severo"
seriously,ˈsiərɪoslɪ,"Seriamente, de verdad"
servant,ˈs3ːvənt,sirviente
serve,s3ːv,servir
service,s3ːvɪs,"Servicio, atender a"
serving,ˈs3ːvɪŋ,"Porción, ración (comida); servicio"
session,ˈseʃən,sesión
set,Set,"Ajustar, equipo"
setting,ˈsetɪŋ,Escenario; ajuste
settle,ˈsetl,resolver
seven,Sevn,siete
several,sevrəl,Varios
severe,sɪˈvɪəʳ,grave
severely,sevíar,"Severo, grave"
sex,Seks,sexo
sexual,seksjʊəl,sexual
sexuality,seksjʊˈælɪtɪ,sexualidad
sexually,ˈseksjʊəlɪ,sexualmente
shore,ʃɔːʳ,"Costa, litoral"
short,ʃɔːt,"Pantalón corto, corto (largo)"
shortage,ˈʃɔːtɪdʒ,escasez
shortly,ˈʃɔːtlɪ,"En breve, pronto (very soon)"
shorts,ʃɔːts,bermudas
short-term,ʃɔːt-t3ːm,A corto plazo
shot,ʃɒt,"Tiro, disparo"
should,ʃʊd,Debería
shoulder,ʃəʊldəʳ,hombro
shove,ʃʌv,"Empujón, dar un empujón"
show,ʃəʊ,"Mostrar, presentar"
shower,ˈʃaʊəʳ,Ducha
shrimp,ʃrɪmp,camarón
shrink,ʃríŋk,encogerse
shrug,ʃrʌg,Encoger hombros
shut,ʃʌt,cerrar
shuttle,ˈʃʌtl,trasladar
shy,ʃaɪ,tímido
sibling,ˈsɪblɪŋ,"Hermano, hermana"
sick,sɪk,enfermo
side,saɪd,Lado
sidewalk,ˈsaɪdwɔːk,"Acera, vereda"
sigh,saɪ,suspiro
sight,saɪt,Vista (ojo)
sign,saɪn,"Señal, letrero"
signal,ˈsɪgnl,señal
signature,ˈsɪgnətʃəʳ,firma
significance,sɪgˈnɪfɪkəns,significado
significant,sɪgˈnɪfɪkənt,significativo
significantly,sɪgˈnɪfɪkəntlɪ,significativamente
silence,ˈsaɪləns,silencio
silk,sɪlk,seda
silly,ˈsɪlɪ,absurdo
silver,ˈsɪlvəʳ,plata
similar,sɪmɪləʳ,similar
similarity,sɪmɪˈlærɪtɪ,similitud
similarly,sɪmɪləlɪ,similarmente
simple,sɪmpl,"Simple, sencillo"
simply,sɪmplɪ,simplemente
simultaneously,siməlˈteɪnɪəslɪ,simultáneamente
sin,sɪn (siien),"Pecado, pecar"
since,sɪns,desde
sing,sing,cantar
singer,Singer,cantante
single,sɪŋgl,"Soltero, uno solo"
sink,sɪŋk,hundirse
sir,s3ːʳ,sr
sister,sɪstəʳ,hermana
sit,sɪt,Sentar
site,saɪt,"Sitio, web"
situation,sɪtjʊˈeɪʃən,situación
slide,slaɪd,deslizar
slight,slaɪt,"Poco, escaso"
slightly,ˈslaɪt-lɪ,"Un poco, algo"
slip,slɪp,"Escurrir, resbalón"
slope,sləʊp,"Ladera, cuesta"
slot,slɒt,Ranura
slow,sləʊ,lento
slowly,ˈsləʊlɪ,lentamente
small,smɔːl,Pequeño
smart,smɑːt,inteligente
smell,Smel,oler
smile,smaɪl,sonreír
smoke,sməʊk,humo
smooth,smuːð,Liso; fina (textura)
snake,sneɪk,serpiente
snap,snæp,"Broche de presión, chascar (romper con un ruido)"
sneak,sniːk,escurrirse
snow,snəʊ,"Nieve, nevar"
so,səʊ,"Así, tan, ¿y?"
soak,səʊk,"Empapar, remojar"
soap,səʊp,jabón
soar,sɔːʳ,"Dispararse, subir muy alto,
remontarse"
so-called,ˈsəʊˈkɔːld,llamado
soccer,‘sɒkəʳ,fútbol
social,səʊʃəl,Social
socially,ˈsəʊʃəlɪ,socialmente
society,səˈsīətē,sociedad
sock,Sock,calcetín
sodium,ˈsəʊdɪəm,sodio
sofa,ˈsəʊfə,"Sofá, sillón"
soft,sɒft,suave
soften,ˈsɒfn,suavizarse
six,sɪks,6
sixth,sɪksθ,sexto
size,saiz,"Tamaño, talla"
ski,skiː,"Esquí, esquiar"
skill,skɪl,habilidad
skilled,skɪld,hábil
skin,skɪn,piel
skip,skɪp,"Omitir, saltarse"
skirt,skɜːt,falda
skull,skʌl,cráneo
sky,skaɪ,cielo
slam,slæm,"Golpe, estrellarse contra"
slap,slæp,abofetear
slave,sleɪv,esclavo
slavery,ˈsleɪvəri,esclavitud
sleep,sliːp,dormir
sleeve,sliːv,Manga (de ropa brazo)
slice,slaɪs,Rebanada; cortar en
softly,ˈsɒftlɪ,suavemente
software,ˈsɒftwɛəʳ,Programa de computador
soil,sɔɪl,Barro
solar,ˈsəʊləʳ,solar
soldier,səʊldʒəʳ(soulyer),soldado
sole,səʊl,"Suela, planta del pie"
solely,ˈsəʊllɪ,"Solamente, solo"
solid,ˈsɒlɪd,sólido
